mm,yy,Longitude,Latitude,Rain
02,2013,70.25,22.00,0.0
02,2013,70.25,22.25,0.0
02,2013,70.25,22.50,0.0
02,2013,70.25,22.75,0.0
02,2013,70.25,23.00,0.0
02,2013,70.25,23.25,0.0
02,2013,70.25,23.50,0.0
02,2013,70.25,23.75,0.0
02,2013,70.25,24.00,0.0
02,2013,70.25,24.25,0.0
02,2013,70.25,24.50,0.0
02,2013,70.50,20.25,0.0
02,2013,70.50,20.50,0.0
02,2013,70.50,20.75,0.0
02,2013,70.50,21.00,0.0
02,2013,70.50,21.25,0.0
02,2013,70.50,21.50,0.0
02,2013,70.50,21.75,0.0
02,2013,70.50,22.00,0.0
02,2013,70.50,22.25,0.0
02,2013,70.50,22.50,0.0
02,2013,70.50,22.75,0.0
02,2013,70.50,23.00,0.0
02,2013,70.50,23.25,0.0
02,2013,70.50,23.50,0.0
02,2013,70.50,23.75,0.0
02,2013,70.50,24.00,0.0
02,2013,70.50,24.25,0.0
02,2013,70.50,24.50,0.0
02,2013,70.75,20.25,0.0
02,2013,70.75,20.50,0.0
02,2013,70.75,20.75,1.7
02,2013,70.75,21.00,0.0
02,2013,70.75,21.25,4.9
02,2013,70.75,21.50,0.0
02,2013,70.75,21.75,0.0
02,2013,70.75,22.00,0.0
02,2013,70.75,22.25,1.4
02,2013,70.75,22.50,8.1
02,2013,70.75,22.75,0.0
02,2013,70.75,23.00,0.0
02,2013,70.75,23.25,0.0
02,2013,70.75,23.50,11.2
02,2013,70.75,23.75,1.9
02,2013,70.75,24.00,0.0
02,2013,70.75,24.25,0.0
02,2013,70.75,24.50,0.0
02,2013,71.00,20.25,0.0
02,2013,71.00,20.50,494.7
02,2013,71.00,20.75,0.0
02,2013,71.00,21.00,0.0
02,2013,71.00,21.25,0.0
02,2013,71.00,21.50,128.4
02,2013,71.00,21.75,265.7
02,2013,71.00,22.00,0.0
02,2013,71.00,22.25,0.0
02,2013,71.00,22.50,0.0
02,2013,71.00,22.75,179.5
02,2013,71.00,23.00,89.9
02,2013,71.00,23.25,0.0
02,2013,71.00,23.50,0.0
02,2013,71.00,23.75,0.0
02,2013,71.00,24.00,152.2
02,2013,71.00,24.25,5.3
